visited,region1,line,area_ja,area_ko,name_ko,naver_url,google_url,address_road,address_lot,menu,source,notes
,釜山,2号線,チルゲコル,지게골,내호냉면 본점,https://naver.me/5YFcvVUf,,부산 남구 우암번영로26번길 17,부산 남구 우암동 189-671,ミルミョン,各メディア,創業1919 日本統治時代の牛舎に朝鮮戦争の時に避難民が住み着いた場所
,釜山,2号線,大淵,대연,오륙도낙지볶음,https://naver.me/IxsBM4kp,,부산 남구 유엔평화로13번길 6,부산 남구 대연동 1737-7,ナッコプセ、ホルモン鍋など,孤独のグルメ,孤独のグルメ「2019年 大晦日スペシャル 緊急指令！成田～福岡～釜山 弾丸出張編！」
,釜山,2号線,南川,남천,연합횟집,https://naver.me/GhbuMehC,,부산 수영구 황령대로489번길 59 연합횟집,부산 수영구 남천동 193,刺身,ヒョンム計画,ヒョンム計画 チュウォンと 縦斬り刺身 クロダイお勧め
,釜山,2号線,南川,남천,비와술잔,https://naver.me/x4FLQb5q,,부산 수영구 황령대로489번길 49-8 1층,부산 수영구 남천동 204,魚料理中心おまかせ,ヒョンム計画,ヒョンム計画 予約制:おまかせ(日本で営業してた)
,釜山,2号線,金蓮山,금련산,이낙에산다 광안리본점,https://naver.me/F6lTBHre,,부산 수영구 남천바다로10번길 68 1층 이낙에산다,부산 수영구 남천동 29-10,ナッコプセ・ヨンポタン,バトルトリップ,バトルツアー 元祖낙곱새  セウ明太ミナリジョンも！
,釜山,2号線,金蓮山,금련산,언양불고기 부산집본가,https://naver.me/FzSZNGcY,,부산 수영구 남천바다로33번길 8 부산집본가,부산 수영구 광안동 204-6,プルコギ　特殊部位など,,ヨンファ推薦 キムチチゲも大好き
,釜山,2号線,広安里,,민락해변공원,,,,부산 수영구 민락동 113-52,公園,,隣で刺身を買ってここで食べる
,釜山,2号線,広安里,,나막집 광안민락점,https://naver.me/F42M3IOZ,,부산 수영구 민락수변로17번길 36 상가동 101호,부산 수영구 민락동 181-88,デジクッパ,日本番組,デジクッパのミシュラン店 さまーず訪問
,釜山,2号線,広安里,,아메리칸빌리지,https://naver.me/xHgITYQ2,,부산 수영구 민락수변로 147 3층,부산 수영구 민락동 110-17,BBQプレート,草薙チャンネル,草薙チャンネル Youtube見て1番行きたかった店
,釜山,2号線,海雲台,해운대,해운대밀면,https://naver.me/G1wSjA6N,,부산 해운대구 중동2로10번길 21,부산 해운대구 중동 1226-2,ミルミョン,,ヨンファ推薦 3大ミルミョン 맛집
,釜山,2号線,海雲台,해운대,새아침식당,https://naver.me/GhbgCEAZ,,부산 해운대구 달맞이길62번길 28 새아침맛집,부산 해운대구 중동 957-1,焼魚定食  魚ジョリムなど,チャガネ,チャガネ チャスンウォン推薦 焼魚定食名店
